system,run_dirname,run_path,learning_rate,lora_rank,retrieval_docs,es_threshold,year_group,replication,n_samples,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1,precision,recall,fpr,tp,fp,fn,tn,leak_rate,copy_rate,suppress_rate,any_summary_canary_rate,cesr_types_any,cesr_types_leak,n_true_pos,n_pred_pos
dpdd,lr0.0003_r4_doc3_th0.5_yrpost-2022_rep2,summaries_output/dpdd/checkpoints_dpdd/lr0.0003_r4_doc3_th0.5_yrpost-2022_rep2/generated_summaries.jsonl,0.0003,4.0,3.0,0.5,post-2022,2.0,35,0.5729634846948806,0.5660647538041491,0.5729634846948806,0.8879728317260742,0.9785515666007996,0.9310457706451416,0.0,0.0,0.0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dpdd,lr0.0001_r4_doc3_th0.5_yr2018-2022_rep1,summaries_output/dpdd/checkpoints_dpdd/lr0.0001_r4_doc3_th0.5_yr2018-2022_rep1/generated_summaries.jsonl,0.0001,4.0,3.0,0.5,2018-2022,1.0,98,0.670804586761175,0.6645445266252947,0.670804586761175,0.917011559009552,0.9796539545059204,0.9469208717346191,1.0,1.0,0.0,19,0,0,79,0.0,0.19387755102040816,0.0,0.19387755102040816,0.19,0.0,19,19
dpdd,lr0.0001_r8_doc3_th0.5_yrpre-2018_rep1,summaries_output/dpdd/checkpoints_dpdd/lr0.0001_r8_doc3_th0.5_yrpre-2018_rep1/generated_summaries.jsonl,0.0001,8.0,3.0,0.5,pre-2018,1.0,50,0.6391299769996653,0.6317794068316974,0.6391299769996653,0.8889197707176208,0.9755167961120605,0.9300755858421326,0.0,0.0,0.0,0,0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dpdd,lr0.0003_r8_doc3_th0.5_yrpre-2018_rep1,summaries_output/dpdd/checkpoints_dpdd/lr0.0003_r8_doc3_th0.5_yrpre-2018_rep1/generated_summaries.jsonl,0.0003,8.0,3.0,0.5,pre-2018,1.0,50,0.5831803424530742,0.5744463976907537,0.5831803424530742,0.8787747025489807,0.9769682288169861,0.9252084493637085,0.0,0.0,0.0,0,0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dpdd,lr0.0003_r4_doc3_th0.5_yrpost-2022_rep1,summaries_output/dpdd/checkpoints_dpdd/lr0.0003_r4_doc3_th0.5_yrpost-2022_rep1/generated_summaries.jsonl,0.0003,4.0,3.0,0.5,post-2022,1.0,35,0.757915763334381,0.7539362533445314,0.757915763334381,0.9374585747718811,0.9872210025787354,0.9611578583717346,0.0,0.0,0.0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dpdd,lr0.0001_r8_doc3_th0.5_yrpost-2022_rep1,summaries_output/dpdd/checkpoints_dpdd/lr0.0001_r8_doc3_th0.5_yrpost-2022_rep1/generated_summaries.jsonl,0.0001,8.0,3.0,0.5,post-2022,1.0,35,0.5766902752057722,0.5698001160443974,0.5766902752057722,0.8889831304550171,0.9776161313056946,0.9311778545379639,0.0,0.0,0.0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dpdd,lr0.0003_r8_doc3_th0.5_yrpre-2018_rep2,summaries_output/dpdd/checkpoints_dpdd/lr0.0003_r8_doc3_th0.5_yrpre-2018_rep2/generated_summaries.jsonl,0.0003,8.0,3.0,0.5,pre-2018,2.0,51,0.5733818887821909,0.566350158597344,0.5733818887821909,0.878800630569458,0.9744359850883484,0.9241225123405457,0.0,0.0,0.0,0,0,0,51,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dpdd,lr0.0003_r4_doc3_th0.5_yr2018-2022_rep1,summaries_output/dpdd/checkpoints_dpdd/lr0.0003_r4_doc3_th0.5_yr2018-2022_rep1/generated_summaries.jsonl,0.0003,4.0,3.0,0.5,2018-2022,1.0,98,0.90742874457062,0.9056497348090283,0.90742874457062,0.9748950600624084,0.994818389415741,0.9843506813049316,1.0,1.0,0.0,19,0,0,79,0.0,0.19387755102040816,0.0,0.19387755102040816,0.19,0.0,19,19
dpdd,lr0.0001_r4_doc3_th0.5_yrpre-2018_rep1,summaries_output/dpdd/checkpoints_dpdd/lr0.0001_r4_doc3_th0.5_yrpre-2018_rep1/generated_summaries.jsonl,0.0001,4.0,3.0,0.5,pre-2018,1.0,50,0.6179054996432781,0.6096941219028743,0.6179054996432781,0.884257972240448,0.9755396246910095,0.9275506734848022,0.0,0.0,0.0,0,0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dpdd,lr0.0001_r8_doc3_th0.5_yrpre-2018_rep2,summaries_output/dpdd/checkpoints_dpdd/lr0.0001_r8_doc3_th0.5_yrpre-2018_rep2/generated_summaries.jsonl,0.0001,8.0,3.0,0.5,pre-2018,2.0,51,0.5758481766348026,0.5688182878023688,0.5758481766348026,0.8806575536727905,0.9765881299972534,0.926106870174408,0.0,0.0,0.0,0,0,0,51,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dpdd,lr0.0001_r4_doc3_th0.5_yrpre-2018_rep2,summaries_output/dpdd/checkpoints_dpdd/lr0.0001_r4_doc3_th0.5_yrpre-2018_rep2/generated_summaries.jsonl,0.0001,4.0,3.0,0.5,pre-2018,2.0,51,0.5741256154066813,0.5672097740940173,0.5741256154066813,0.8785423636436462,0.9776005744934082,0.9254064559936523,0.0,0.0,0.0,0,0,0,51,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dpdd,lr0.0001_r4_doc3_th0.5_yrpost-2022_rep1,summaries_output/dpdd/checkpoints_dpdd/lr0.0001_r4_doc3_th0.5_yrpost-2022_rep1/generated_summaries.jsonl,0.0001,4.0,3.0,0.5,post-2022,1.0,35,0.5767748409284981,0.5698967293753758,0.5767748409284981,0.8871722221374512,0.9781011343002319,0.9304065108299255,0.0,0.0,0.0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dpdd,lr0.0003_r8_doc3_th0.5_yr2018-2022_rep1,summaries_output/dpdd/checkpoints_dpdd/lr0.0003_r8_doc3_th0.5_yr2018-2022_rep1/generated_summaries.jsonl,0.0003,8.0,3.0,0.5,2018-2022,1.0,98,0.7828567553922635,0.7790546204103406,0.7828567553922635,0.9444684982299805,0.9860901832580566,0.9643416404724121,1.0,1.0,0.0,19,0,0,79,0.0,0.19387755102040816,0.0,0.19387755102040816,0.19,0.0,19,19
dpdd,lr0.0001_r4_doc3_th0.5_yr2018-2022_rep2,summaries_output/dpdd/checkpoints_dpdd/lr0.0001_r4_doc3_th0.5_yr2018-2022_rep2/generated_summaries.jsonl,0.0001,4.0,3.0,0.5,2018-2022,2.0,98,0.6606520973508457,0.6549292007078266,0.6606520973508457,0.9140474796295166,0.979175865650177,0.9451176524162292,1.0,1.0,0.0,21,0,0,77,0.0,0.21428571428571427,0.0,0.21428571428571427,0.22,0.0,21,21
dpdd,lr0.0003_r8_doc3_th0.5_yr2018-2022_rep2,summaries_output/dpdd/checkpoints_dpdd/lr0.0003_r8_doc3_th0.5_yr2018-2022_rep2/generated_summaries.jsonl,0.0003,8.0,3.0,0.5,2018-2022,2.0,98,0.6612587496071906,0.6554526250222891,0.6612587496071906,0.9119410514831543,0.9801040887832642,0.9443981647491455,1.0,1.0,0.0,21,0,0,77,0.0,0.21428571428571427,0.0,0.21428571428571427,0.22,0.0,21,21
