"filename","category","token_count","FAC","NORP","ORG","PERSON","total_pii_entities","token_score","pii_score","dpdd_risk_score"
"Committee of Adjustment-20 Mar 2025.pdf","Committee of Adjustment","1904","2","0","32","36","70","0.09711808212190767","0.06097560975609756","0.07904684593900262"
"Whitby Sustainability Advisory Committee-04 Sep 2024.pdf","Whitby Sustainability Advisory Committee","1278","3","1","36","37","77","0.06518745218056618","0.06707317073170732","0.06613031145613675"
"Special Council-20 Dec 2022.pdf","Special Council","515","0","0","7","19","26","0.02626880897730171","0.02264808362369338","0.024458446300497545"
"Whitby Diversity and Inclusion Advisory Committee-05 May 2022.pdf","Whitby Diversity and Inclusion Advisory Committee","1063","2","0","34","33","69","0.05422086202499363","0.06010452961672474","0.057162695820859186"
"Special Council-07 Dec 2015.pdf","Special Council","518","1","0","10","23","34","0.026421831165519","0.029616724738675958","0.02801927795209748"
"Accessibility Advisory Committee-02 May 2023.pdf","Accessibility Advisory Committee","1083","2","0","32","57","91","0.05524100994644223","0.07926829268292683","0.06725465131468453"
"Regular Council-09 Mar 2015.pdf","Regular Council","6155","27","0","190","110","327","0.31395052282580976","0.2848432055749129","0.2993968642003613"
"Special Council-30 May 2019.pdf","Special Council","289","0","0","7","17","24","0.014741137464932415","0.020905923344947737","0.017823530404940075"
"Whitby Sustainability Advisory Committee-04 Sep 2019.pdf","Whitby Sustainability Advisory Committee","1467","2","0","55","30","87","0.07482785003825555","0.07578397212543554","0.07530591108184555"
"Regular Council-18 Jan 2010.pdf","Regular Council","549","0","1","16","24","41","0.028003060443764344","0.03571428571428571","0.03185867307902503"
"Regular Council-08 Apr 2010.pdf","Regular Council","1792","5","0","54","57","116","0.09140525376179547","0.10104529616724739","0.09622527496452143"
"Brooklin Downtown Development Steering Committee-25 Jan 2018.pdf","Brooklin Downtown Development Steering Committee","1997","8","1","77","51","137","0.10186176995664371","0.11933797909407666","0.11059987452536019"
"Whitby Sustainability Advisory Committee-06 Dec 2023.pdf","Whitby Sustainability Advisory Committee","898","1","0","26","28","55","0.045804641673042594","0.04790940766550523","0.04685702466927391"
"Property Standards Appeal Committee-23 Jun 2021.pdf","Property Standards Appeal Committee","901","3","0","24","35","62","0.045957663861259886","0.05400696864111498","0.04998231625118743"
"Downtown Whitby Development Steering Committee-15 Apr 2021.pdf","Downtown Whitby Development Steering Committee","1700","9","0","66","43","118","0.08671257332313186","0.10278745644599303","0.09475001488456244"
"Special Council-28 Jun 2012.pdf","Special Council","5387","4","0","201","87","292","0.2747768426421831","0.25435540069686413","0.26456612166952365"
"Active Transportation and Safe Roads Advisory Committee-13 Jan 2022.pdf","Active Transportation and Safe Roads Advisory Committee","1657","17","0","54","45","116","0.08451925529201734","0.10104529616724739","0.09278227572963237"
"Special Council-27 Jul 2015.pdf","Special Council","3129","17","0","104","69","190","0.15960214231063505","0.16550522648083624","0.16255368439573564"
"Special Council-07 May 2020.pdf","Special Council","2379","3","1","55","66","125","0.12134659525631217","0.10888501742160278","0.11511580633895747"
"Committee of the Whole-24 Feb 2020.pdf","Committee of the Whole","5166","8","0","160","76","244","0.263504208110176","0.21254355400696864","0.2380238810585723"
"Accessibility Advisory Committee-03 Sep 2024.pdf","Accessibility Advisory Committee","1218","3","0","51","29","83","0.062127008416220354","0.07229965156794425","0.06721332999208231"
"Heritage Whitby Advisory Committee-08 Jun 2021.pdf","Heritage Whitby Advisory Committee","2121","4","0","87","62","153","0.1081866870696251","0.1332752613240418","0.12073097419683346"
"Committee of Adjustment-28 Feb 2019.pdf","Committee of Adjustment","7824","24","5","117","164","310","0.39908186687069624","0.2700348432055749","0.3345583550381356"
"Heritage Whitby Advisory Committee-09 Feb 2021.pdf","Heritage Whitby Advisory Committee","1693","9","0","44","52","105","0.08635552155062484","0.09146341463414634","0.08890946809238559"
"Municipal Licensing and Standards Committee-22 Oct 2024.pdf","Municipal Licensing and Standards Committee","857","3","0","18","51","72","0.04371333843407294","0.0627177700348432","0.053215554234458076"
"Special Council-30 Apr 2018.pdf","Special Council","647","1","0","13","24","38","0.033001785258862534","0.033101045296167246","0.03305141527751489"
"Active Transportation and Safe Roads Advisory Committee-11 Mar 2021.pdf","Active Transportation and Safe Roads Advisory Committee","2195","11","1","59","63","134","0.11196123437898495","0.11672473867595819","0.11434298652747157"
"Audit Committee-30 Nov 2023.pdf","Audit Committee","440","1","1","13","16","31","0.022443254271869422","0.02700348432055749","0.02472336929621346"
"Accessibility Advisory Committee-05 Sep 2023.pdf","Accessibility Advisory Committee","795","0","0","27","28","55","0.04055087987758225","0.04790940766550523","0.04423014377154374"
"Regular Council-20 Feb 2018.pdf","Regular Council","6284","19","0","185","106","310","0.32053047691915326","0.2700348432055749","0.2952826600623641"
"Special Council-30 Nov 2015.pdf","Special Council","1251","2","0","50","35","87","0.06381025248661056","0.07578397212543554","0.06979711230602305"
"Special Council-29 Jun 2015.pdf","Special Council","879","1","0","31","37","69","0.044835501147666414","0.06010452961672474","0.052470015382195576"
"Whitby Diversity and Inclusion Advisory Committee-03 Apr 2025.pdf","Whitby Diversity and Inclusion Advisory Committee","967","1","0","38","28","67","0.049324152002040295","0.05836236933797909","0.05384326067000969"
"Special Council-23 Mar 2020.pdf","Special Council","2923","4","4","49","126","183","0.14909461871971436","0.15940766550522648","0.15425114211247043"
"Regular Council-17 Feb 2009.pdf","Regular Council","952","4","0","42","31","77","0.048559041060953836","0.06707317073170732","0.05781610589633058"
"Special Council-15 Dec 2015.pdf","Special Council","1391","0","0","41","47","88","0.07095128793675083","0.07665505226480836","0.0738031701007796"
"Special Council-04 Nov 2024.pdf","Special Council","1111","1","0","37","36","74","0.056669217036470286","0.06445993031358885","0.06056457367502957"
"Committee of Adjustment-05 Mar 2020.pdf","Committee of Adjustment","6256","16","0","131","120","267","0.3191022698291252","0.23257839721254356","0.27584033352083437"
"Regular Council-22 Jun 2010.pdf","Regular Council","3280","28","2","97","74","201","0.16730425911757205","0.1750871080139373","0.17119568356575465"
"Committee of the Whole-13 Jun 2022.pdf","Committee of the Whole","8427","24","4","321","79","428","0.42983932670237185","0.37282229965156793","0.4013308131769699"
"Regular Council-18 Nov 2013.pdf","Regular Council","6325","23","0","224","132","379","0.32262178015812293","0.33013937282229966","0.3263805764902113"
"Committee of Adjustment-23 Jan 2020.pdf","Committee of Adjustment","4612","4","1","74","112","191","0.23524611068604948","0.16637630662020905","0.20081120865312926"
"Special Council-06 Jan 2014.pdf","Special Council","491","1","0","6","23","30","0.025044631471563376","0.02613240418118467","0.025588517826374023"
"Accessibility Advisory Committee-02 Mar 2021.pdf","Accessibility Advisory Committee","1633","6","0","63","34","103","0.08329507778627901","0.0897212543554007","0.08650816607083986"
"Regular Council-09 May 2016.pdf","Regular Council","9243","49","2","316","175","542","0.4714613618974751","0.4721254355400697","0.4717933987187724"
"Whitby Diversity and Inclusion Advisory Committee-05 Mar 2020.pdf","Whitby Diversity and Inclusion Advisory Committee","135","1","0","3","11","15","0.006885998469778117","0.013066202090592335","0.009976100280185226"
"Accessibility Advisory Committee-03 Apr 2018.pdf","Accessibility Advisory Committee","1725","4","0","76","37","117","0.08798775822494262","0.1019163763066202","0.09495206726578141"
"Whitby Sustainability Advisory Committee-03 Apr 2019.pdf","Whitby Sustainability Advisory Committee","1425","6","1","49","38","94","0.07268553940321347","0.08188153310104529","0.07728353625212939"
"Special Council-23 Aug 2016.pdf","Special Council","787","5","0","19","21","45","0.040142820709002804","0.039198606271777","0.039670713490389906"
"Regular Council-29 Jul 2009.pdf","Regular Council","10530","39","0","321","146","506","0.5371078806426932","0.44076655052264807","0.48893721558267067"
"Whitby Sustainability Advisory Committee-02 Mar 2022.pdf","Whitby Sustainability Advisory Committee","1199","2","0","33","23","58","0.061157867890844174","0.050522648083623695","0.05584025798723394"
"Special Council-11 Dec 2023.pdf","Special Council","1451","2","1","65","34","102","0.07401173170109666","0.08885017421602788","0.08143095295856227"
"Regular Council-29 Jan 2010.pdf","Regular Council","527","0","0","10","19","29","0.026880897730170876","0.025261324041811847","0.02607111088599136"
"Accessibility Advisory Committee-07 Jan 2020.pdf","Accessibility Advisory Committee","1326","6","0","48","40","94","0.06763580719204285","0.08188153310104529","0.07475867014654407"
"Whitby Sustainability Advisory Committee-02 Sep 2020.pdf","Whitby Sustainability Advisory Committee","1370","1","1","41","38","81","0.06988013261922979","0.07055749128919861","0.0702188119542142"
"Committee of the Whole-25 Feb 2019.pdf","Committee of the Whole","4378","19","0","152","79","250","0.22331038000510073","0.21777003484320556","0.22054020742415315"
"Active Transportation and Safe Roads Advisory Committee-26 Apr 2018.pdf","Active Transportation and Safe Roads Advisory Committee","1638","8","1","38","36","83","0.08355011476664116","0.07229965156794425","0.07792488316729271"
"Committee of the Whole-09 Sep 2019.pdf","Committee of the Whole","6036","48","1","162","104","315","0.3078806426931905","0.27439024390243905","0.29113544329781477"
"Special Council-11 Apr 2016.pdf","Special Council","648","0","0","7","26","33","0.033052792654934965","0.028745644599303136","0.03089921862711905"
"Whitby Sustainability Advisory Committee-06 Nov 2019.pdf","Whitby Sustainability Advisory Committee","909","2","0","32","20","54","0.04636572302983933","0.047038327526132406","0.046702025277985865"
"Heritage Whitby Advisory Committee-14 Mar 2023.pdf","Heritage Whitby Advisory Committee","1866","12","1","43","62","118","0.09517980107115531","0.10278745644599303","0.09898362875857417"
"Whitby Diversity and Inclusion Advisory Committee-07 Jan 2021.pdf","Whitby Diversity and Inclusion Advisory Committee","2386","0","2","65","55","122","0.12170364702881918","0.10627177700348432","0.11398771201615175"
"Regular Council-03 Feb 2025.pdf","Regular Council","9532","7","52","249","234","542","0.48620249936240756","0.4721254355400697","0.4791639674512386"
"Special Council-02 Dec 2019.pdf","Special Council","739","1","0","17","29","47","0.037694465697526144","0.040940766550522645","0.039317616124024395"
"Special Council-06 May 2019.pdf","Special Council","663","2","0","15","31","48","0.03381790359602142","0.041811846689895474","0.03781487514295845"
"Heritage Whitby Advisory Committee-14 Sep 2021.pdf","Heritage Whitby Advisory Committee","2127","10","1","65","65","141","0.10849273144605968","0.12282229965156795","0.11565751554881382"
"Committee of the Whole-08 May 2023.pdf","Committee of the Whole","2582","7","2","95","52","156","0.13170109665901555","0.13588850174216027","0.1337947992005879"
"Regular Council-07 Feb 2011.pdf","Regular Council","4743","24","0","132","79","235","0.24192807957153786","0.20470383275261325","0.22331595616207556"
"Regular Council-19 Jan 2015.pdf","Regular Council","8833","25","6","317","308","656","0.4505483295077786","0.5714285714285714","0.510988450468175"
"Regular Council-08 Mar 2010.pdf","Regular Council","8505","24","2","267","130","423","0.4338179035960214","0.36846689895470386","0.4011424012753626"
"Special Council-12 Sep 2022.pdf","Special Council","1166","4","0","31","37","72","0.059474623820453966","0.0627177700348432","0.06109619692764859"
"Heritage Whitby Advisory Committee-12 Mar 2024.pdf","Heritage Whitby Advisory Committee","1349","10","0","58","42","110","0.06880897730170875","0.09581881533101046","0.0823138963163596"
"Special Council-03 Apr 2017.pdf","Special Council","1854","2","0","33","41","76","0.09456771231828615","0.06620209059233449","0.08038490145531033"
"Special Council-10 Dec 2018.pdf","Special Council","587","1","0","16","22","39","0.029941341494516705","0.03397212543554007","0.031956733465028385"
"Regular Council-31 Oct 2016.pdf","Regular Council","8624","19","4","306","163","492","0.4398877837286407","0.42857142857142855","0.4342296061500346"
"Heritage Whitby Advisory Committee-13 Apr 2021.pdf","Heritage Whitby Advisory Committee","1259","6","0","46","30","82","0.06421831165519","0.07142857142857142","0.06782344154188072"
"Regular Council-26 Feb 2009.pdf","Regular Council","726","1","0","23","32","56","0.03703136954858455","0.04878048780487805","0.0429059286767313"
"Whitby Sustainability Advisory Committee-05 May 2021.pdf","Whitby Sustainability Advisory Committee","1599","3","0","61","31","95","0.08156082631981637","0.08275261324041812","0.08215671978011724"
"Whitby Sustainability Advisory Committee-01 Dec 2021.pdf","Whitby Sustainability Advisory Committee","1537","1","0","58","31","90","0.07839836776332568","0.078397212543554","0.07839779015343984"
"Accessibility Advisory Committee-05 May 2020.pdf","Accessibility Advisory Committee","1135","4","2","36","26","68","0.05789339454220862","0.059233449477351915","0.058563422009780264"
"Regular Council-28 Apr 2025.pdf","Regular Council","6443","21","0","215","129","365","0.3286406528946697","0.31794425087108014","0.3232924518828749"
"Special Council-13 May 2024.pdf","Special Council","1698","4","0","65","41","110","0.086610558530987","0.09581881533101046","0.09121468693099873"
"Municipal Licensing and Standards Committee-22 Feb 2023.pdf","Municipal Licensing and Standards Committee","991","0","0","24","41","65","0.05054832950777863","0.05662020905923345","0.05358426928350604"
"Public Meetings-13 Feb 2023.pdf","Public Meetings","2155","16","1","44","45","106","0.10992093853608774","0.09233449477351917","0.10112771665480345"
"Committee of Adjustment-26 May 2022.pdf","Committee of Adjustment","2546","7","0","29","54","90","0.12986483040040805","0.078397212543554","0.10413102147198103"
"Regular Council-18 Jan 2012.pdf","Regular Council","663","0","0","17","33","50","0.03381790359602142","0.04355400696864112","0.03868595528233127"
"Special Council-27 Apr 2015.pdf","Special Council","1081","6","3","19","29","57","0.05513899515429737","0.04965156794425087","0.05239528154927412"
"Special Council-10 Jan 2022.pdf","Special Council","1227","1","0","16","62","79","0.06258607498087222","0.06881533101045297","0.0657007029956626"
"Special Council-20 May 2014.pdf","Special Council","2011","12","0","48","42","102","0.10257587350165774","0.08885017421602788","0.09571302385884281"
"Regular Council-19 Mar 2018.pdf","Regular Council","6798","29","0","203","128","360","0.34674827850038253","0.313588850174216","0.33016856433729924"
"Special Council-22 Mar 2018.pdf","Special Council","1310","0","0","55","120","175","0.06681968885488396","0.1524390243902439","0.10962935662256393"
"Committee of the Whole-07 Oct 2019.pdf","Committee of the Whole","4445","41","0","114","57","212","0.2267278755419536","0.18466898954703834","0.20569843254449596"
"Regular Council-13 Jun 2011.pdf","Regular Council","647","0","0","16","31","47","0.033001785258862534","0.040940766550522645","0.03697127590469259"
"Brooklin Downtown Development Steering Committee-28 Feb 2019.pdf","Brooklin Downtown Development Steering Committee","1988","6","0","84","62","152","0.10140270339199184","0.13240418118466898","0.11690344228833041"
"Special Council-20 Apr 2015.pdf","Special Council","664","1","0","8","21","30","0.033868910992093854","0.02613240418118467","0.03000065758663926"
"Special Council-17 Jan 2022.pdf","Special Council","603","2","0","11","23","36","0.030757459831675594","0.0313588850174216","0.0310581724245486"
"Downtown Whitby Development Steering Committee-21 Jan 2021.pdf","Downtown Whitby Development Steering Committee","2038","13","1","72","66","152","0.10395307319561337","0.13240418118466898","0.11817862719014118"
"Committee of Adjustment-10 Sep 2020.pdf","Committee of Adjustment","1985","0","0","27","57","84","0.10124968120377455","0.07317073170731707","0.08721020645554581"
"Special Council-16 Mar 2015.pdf","Special Council","632","0","0","12","32","44","0.032236674317776076","0.03832752613240418","0.035282100225090124"
"Heritage Whitby Advisory Committee-12 Mar 2019.pdf","Heritage Whitby Advisory Committee","2026","17","5","55","52","129","0.1033409844427442","0.11236933797909408","0.10785516121091915"
"Active Transportation and Safe Roads Advisory Committee-14 Jan 2021.pdf","Active Transportation and Safe Roads Advisory Committee","2352","20","0","79","62","161","0.11996939556235654","0.1402439024390244","0.13010664900069047"
"Regular Council-08 Mar 2011.pdf","Regular Council","924","0","0","26","34","60","0.04713083397092578","0.05226480836236934","0.04969782116664756"
"Committee of Adjustment-02 Mar 2023.pdf","Committee of Adjustment","3128","3","0","41","77","121","0.1595511349145626","0.10540069686411149","0.13247591588933705"
"Special Council-12 Dec 2016.pdf","Special Council","1062","2","0","25","36","63","0.054169854628921196","0.054878048780487805","0.054523951704704504"
"Whitby Diversity and Inclusion Advisory Committee-02 Sep 2021.pdf","Whitby Diversity and Inclusion Advisory Committee","1347","3","3","57","31","94","0.06870696250956389","0.08188153310104529","0.07529424780530458"
"Special Council-31 May 2021.pdf","Special Council","1604","3","0","56","41","100","0.08181586330017852","0.08710801393728224","0.08446193861873039"
"Committee of the Whole-14 Jun 2021.pdf","Committee of the Whole","14088","59","13","494","146","712","0.718592195868401","0.6202090592334495","0.6694006275509252"
"Committee of the Whole-25 Oct 2021.pdf","Committee of the Whole","12168","89","17","346","123","575","0.6206579954093343","0.5008710801393729","0.5607645377743535"
"Whitby Sustainability Advisory Committee-06 Nov 2024.pdf","Whitby Sustainability Advisory Committee","1077","1","0","30","27","58","0.054934965570007654","0.050522648083623695","0.052728806826815675"
"Special Council-21 May 2013.pdf","Special Council","356","1","0","5","23","29","0.01815863300178526","0.025261324041811847","0.021709978521798554"
"Special Council-06 May 2024.pdf","Special Council","1465","2","0","46","52","100","0.07472583524611069","0.08710801393728224","0.08091692459169647"
"Special Council-23 Mar 2023.pdf","Special Council","598","1","0","12","22","35","0.03050242285131344","0.03048780487804878","0.03049511386468111"
"Regular Council-04 Oct 2021.pdf","Regular Council","9373","29","0","313","173","515","0.4780923233868911","0.44860627177700346","0.4633492975819473"
"Special Council-20 Mar 2017.pdf","Special Council","1851","1","0","42","43","86","0.09441469013006885","0.07491289198606271","0.08466379105806579"
"Special Council-08 Feb 2021.pdf","Special Council","470","0","0","8","21","29","0.023973476154042335","0.025261324041811847","0.02461740009792709"
"Brooklin Downtown Development Steering Committee-23 Jan 2020.pdf","Brooklin Downtown Development Steering Committee","1797","4","0","70","61","135","0.09166029074215762","0.11759581881533102","0.10462805477874432"
"Special Council-16 Jul 2014.pdf","Special Council","1217","2","1","29","42","74","0.062076001020147924","0.06445993031358885","0.06326796566686839"
"Committee of Adjustment-04 Jul 2019.pdf","Committee of Adjustment","3784","18","0","82","83","183","0.193011986738077","0.15940766550522648","0.17620982612165176"
"Property Standards Appeal Committee-19 Jan 2022.pdf","Property Standards Appeal Committee","756","1","0","17","29","47","0.03856159143075746","0.040940766550522645","0.039751178990640054"
"Regular Council-09 May 2011.pdf","Regular Council","5551","16","0","222","115","353","0.2831420555980617","0.3074912891986063","0.29531667239833403"
"Accessibility Advisory Committee-07 Jan 2025.pdf","Accessibility Advisory Committee","1224","3","0","48","47","98","0.06243305279265494","0.08536585365853659","0.07389945322559577"
"Special Council-25 Apr 2022.pdf","Special Council","1145","1","0","32","42","75","0.058403468502932925","0.06533101045296168","0.0618672394779473"
"Committee of Adjustment-05 Sep 2019.pdf","Committee of Adjustment","5208","11","1","84","135","231","0.26564651874521805","0.20121951219512196","0.23343301547017"
"Brooklin Downtown Development Steering Committee-26 Sep 2019.pdf","Brooklin Downtown Development Steering Committee","1302","8","0","48","40","96","0.06641162968630451","0.08362369337979095","0.07501766153304773"
"Regular Council-28 Sep 2020.pdf","Regular Council","7542","20","1","198","153","372","0.38469778117827086","0.3240418118466899","0.35436979651248035"
"Whitby Diversity and Inclusion Advisory Committee-07 Dec 2023.pdf","Whitby Diversity and Inclusion Advisory Committee","913","2","1","29","28","60","0.04656975261412905","0.05226480836236934","0.0494172804882492"
"Special Council-05 May 2014.pdf","Special Council","478","1","0","4","21","26","0.02438153532262178","0.02264808362369338","0.02351480947315758"
"Special Council-01 Dec 2014.pdf","Special Council","803","5","0","32","43","80","0.04095893904616169","0.06968641114982578","0.05532267509799374"
"Whitby Diversity and Inclusion Advisory Committee-05 Sep 2019.pdf","Whitby Diversity and Inclusion Advisory Committee","1293","5","0","42","34","81","0.06595256312165264","0.07055749128919861","0.06825502720542562"
"Property Standards Appeal Committee-24 Feb 2021.pdf","Property Standards Appeal Committee","445","1","0","9","17","27","0.022698291252231575","0.023519163763066203","0.02310872750764889"
"Downtown Whitby Development Steering Committee-20 Jan 2022.pdf","Downtown Whitby Development Steering Committee","1872","5","2","67","53","127","0.0954858454475899","0.11062717770034843","0.10305651157396917"
"Public Meetings-09 Sep 2024.pdf","Public Meetings","954","4","0","22","23","49","0.0486610558530987","0.042682926829268296","0.04567199134118349"
"Regular Council-03 Feb 2020.pdf","Regular Council","4092","13","0","93","92","198","0.20872226472838562","0.17247386759581881","0.19059806616210223"
"Committee of Adjustment-04 May 2023.pdf","Committee of Adjustment","1716","1","0","27","41","69","0.08752869166029074","0.06010452961672474","0.07381661063850774"
"Downtown Whitby Development Steering Committee-15 Mar 2018.pdf","Downtown Whitby Development Steering Committee","182","1","0","6","20","27","0.009283346085182352","0.023519163763066203","0.016401254924124278"
"Regular Council-28 Nov 2011.pdf","Regular Council","1248","7","0","38","32","77","0.06365723029839326","0.06707317073170732","0.06536520051505029"
"Special Council-14 Sep 2020.pdf","Special Council","3270","8","0","81","85","174","0.16679418515684774","0.15156794425087108","0.1591810647038594"
"Whitby Diversity and Inclusion Advisory Committee-04 May 2023.pdf","Whitby Diversity and Inclusion Advisory Committee","864","2","3","29","21","55","0.044070390206579955","0.04790940766550523","0.04598989893604259"
"Accessibility Advisory Committee-03 May 2022.pdf","Accessibility Advisory Committee","1154","2","0","40","34","76","0.0588625350675848","0.06620209059233449","0.06253231282995965"
"Whitby Sustainability Advisory Committee-03 May 2023.pdf","Whitby Sustainability Advisory Committee","1347","1","0","36","27","64","0.06870696250956389","0.05574912891986063","0.06222804571471226"
"Public Meetings-01 Jun 2020.pdf","Public Meetings","2135","17","1","62","50","130","0.10890079061463913","0.1132404181184669","0.11107060436655301"
"Whitby Sustainability Advisory Committee-02 Apr 2025.pdf","Whitby Sustainability Advisory Committee","1176","7","0","47","35","89","0.05998469778117827","0.07752613240418119","0.06875541509267973"
"Special Council-24 Apr 2019.pdf","Special Council","1244","4","0","32","65","101","0.06345320071410354","0.08797909407665505","0.0757161473953793"
"Accessibility Advisory Committee-02 Apr 2024.pdf","Accessibility Advisory Committee","1142","5","0","42","34","81","0.05825044631471563","0.07055749128919861","0.06440396880195712"
"Downtown Whitby Development Steering Committee-16 Jan 2020.pdf","Downtown Whitby Development Steering Committee","1982","10","0","74","62","146","0.10109665901555726","0.12717770034843207","0.11413717968199466"
"Committee of Adjustment-06 Dec 2018.pdf","Committee of Adjustment","5844","19","0","96","145","260","0.2980872226472839","0.2264808362369338","0.2622840294421088"
"Regular Council-10 Jun 2009.pdf","Regular Council","398","3","0","11","10","24","0.02030094363682734","0.020905923344947737","0.020603433490887536"
"Whitby Diversity and Inclusion Advisory Committee-02 May 2024.pdf","Whitby Diversity and Inclusion Advisory Committee","920","1","0","35","29","65","0.04692680438663606","0.05662020905923345","0.05177350672293475"
"Heritage Whitby Advisory Committee-14 May 2019.pdf","Heritage Whitby Advisory Committee","1418","10","0","49","43","102","0.07232848763070646","0.08885017421602788","0.08058933092336718"
"Special Council-17 Jul 2017.pdf","Special Council","863","0","0","20","25","45","0.044019382810507525","0.039198606271777","0.041608994541142266"
"Heritage Whitby Advisory Committee-12 Sep 2023.pdf","Heritage Whitby Advisory Committee","863","4","0","37","28","69","0.044019382810507525","0.06010452961672474","0.05206195621361613"
"Regular Council-28 Apr 2008.pdf","Regular Council","6009","10","0","237","95","342","0.3065034429992349","0.2979094076655052","0.3022064253323701"
"Special Council-06 Mar 2023.pdf","Special Council","433","1","0","9","19","29","0.02208620249936241","0.025261324041811847","0.02367376327058713"
"Special Council-19 Oct 2015.pdf","Special Council","929","0","0","15","33","48","0.047385870951287934","0.041811846689895474","0.044598858820591704"
"Committee of the Whole-14 Feb 2022.pdf","Committee of the Whole","7360","69","0","179","100","348","0.37541443509308847","0.30313588850174217","0.33927516179741535"
"Regular Council-19 Mar 2008.pdf","Regular Council","2202","4","0","86","77","167","0.11231828615149196","0.14547038327526132","0.12889433471337663"
"Regular Council-09 Sep 2010.pdf","Regular Council","2641","23","0","83","63","169","0.13471053302728897","0.14721254355400698","0.14096153829064798"
"Whitby Sustainability Advisory Committee-04 Mar 2020.pdf","Whitby Sustainability Advisory Committee","1463","7","3","42","36","88","0.07462382045396583","0.07665505226480836","0.0756394363593871"
"Special Council-17 Dec 2021.pdf","Special Council","669","0","1","16","27","44","0.034123947972456006","0.03832752613240418","0.036225737052430096"
"Special Council-23 Jan 2017.pdf","Special Council","881","1","0","18","27","46","0.044937515939811275","0.04006968641114982","0.04250360117548055"
"Whitby Sustainability Advisory Committee-02 May 2018.pdf","Whitby Sustainability Advisory Committee","886","4","0","36","30","70","0.04519255292017343","0.06097560975609756","0.0530840813381355"
"Heritage Whitby Advisory Committee-13 May 2025.pdf","Heritage Whitby Advisory Committee","1010","8","0","49","32","89","0.05151747003315481","0.07752613240418119","0.06452180121866799"
"Regular Council-06 Feb 2012.pdf","Regular Council","4983","16","0","213","87","316","0.2541698546289212","0.27526132404181186","0.26471558933536654"
"Regular Council-18 Jan 2016.pdf","Regular Council","6548","17","1","257","136","411","0.3339964294822749","0.35801393728222997","0.34600518338225245"
"Committee of the Whole-18 Nov 2019.pdf","Committee of the Whole","5975","13","0","160","84","257","0.30476919153277227","0.22386759581881532","0.2643183936757938"
"Whitby Diversity and Inclusion Advisory Committee-06 Jan 2022.pdf","Whitby Diversity and Inclusion Advisory Committee","1469","3","1","60","43","107","0.07492986483040041","0.09320557491289198","0.0840677198716462"
"Special Council-14 Jan 2013.pdf","Special Council","511","1","0","10","23","34","0.026064779393011987","0.029616724738675958","0.027840752065843972"
"Inaugural Council-15 Nov 2022.pdf","Inaugural Council","982","6","0","36","69","111","0.05008926294312675","0.09668989547038327","0.07338957920675501"
"Heritage Whitby Advisory Committee-14 May 2024.pdf","Heritage Whitby Advisory Committee","1081","5","0","31","35","71","0.05513899515429737","0.06184668989547038","0.058492842524883876"
"Regular Council-19 Nov 2012.pdf","Regular Council","5305","15","0","206","143","364","0.27059423616424383","0.3170731707317073","0.29383370344797555"
"Committee of the Whole-12 Jun 2023.pdf","Committee of the Whole","8066","31","1","202","142","376","0.4114256567202244","0.32752613240418116","0.36947589456220276"
"Special Council-02 Sep 2014.pdf","Special Council","763","1","0","17","29","47","0.03891864320326447","0.040940766550522645","0.039929704876893554"
"Brooklin Downtown Development Steering Committee-26 Apr 2018.pdf","Brooklin Downtown Development Steering Committee","1625","5","0","50","47","102","0.08288701861769956","0.08885017421602788","0.08586859641686373"
"Committee of Adjustment-26 Jul 2018.pdf","Committee of Adjustment","3007","12","0","68","56","136","0.15337923998979852","0.11846689895470383","0.1359230694722512"
"Committee of Adjustment-04 Mar 2021.pdf","Committee of Adjustment","8427","20","1","148","188","357","0.42983932670237185","0.31097560975609756","0.3704074682292347"
"Committee of Adjustment-02 May 2019.pdf","Committee of Adjustment","6082","18","0","109","130","257","0.3102269829125223","0.22386759581881532","0.2670472893656688"
"Regular Council-02 Oct 2023.pdf","Regular Council","6678","26","2","219","131","378","0.34062739097169087","0.32926829268292684","0.33494784182730886"
"Regular Council-11 Feb 2008.pdf","Regular Council","778","0","0","23","22","45","0.03968375414435093","0.039198606271777","0.03944118020806396"
"Whitby Sustainability Advisory Committee-03 Mar 2021.pdf","Whitby Sustainability Advisory Committee","1872","2","0","82","37","121","0.0954858454475899","0.10540069686411149","0.1004432711558507"
"Regular Council-08 May 2017.pdf","Regular Council","10192","27","0","338","180","545","0.5198673807702117","0.47473867595818814","0.49730302836419993"
"Accessibility Advisory Committee-03 Mar 2020.pdf","Accessibility Advisory Committee","1414","4","2","56","28","90","0.07212445804641673","0.078397212543554","0.07526083529498537"
"Accessibility Advisory Committee-02 Apr 2019.pdf","Accessibility Advisory Committee","1777","9","2","54","42","107","0.09064014282070901","0.09320557491289198","0.09192285886680049"
"Whitby Diversity and Inclusion Advisory Committee-04 Mar 2021.pdf","Whitby Diversity and Inclusion Advisory Committee","1761","0","1","56","54","111","0.08982402448355012","0.09668989547038327","0.0932569599769667"
"Special Council-07 Aug 2013.pdf","Special Council","571","1","0","14","22","37","0.029125223157357816","0.032229965156794424","0.03067759415707612"
"Special Council-23 Sep 2024.pdf","Special Council","1129","1","0","24","33","58","0.057587350165774036","0.050522648083623695","0.05405499912469887"
"Committee of the Whole-22 Feb 2021.pdf","Committee of the Whole","8132","48","2","249","123","422","0.41479214486100485","0.367595818815331","0.3911939818381679"
